
START TIME : 2023-12-28 20:30:08
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.200000E+000,-5.150259E+000,-8.879758E+001,-2.329980E+002,-6.180311E+000,,,,,,,,
6.314720000e-02,+1.190000E+000,-4.239446E+000,-7.309390E+001,-2.806971E+002,-5.044941E+000,,,,,,,,
1.262663200e-01,+1.180000E+000,-3.730531E+000,-6.431950E+001,-3.163089E+002,-4.402026E+000,,,,,,,,
1.893856800e-01,+1.170000E+000,-3.272247E+000,-5.641805E+001,-3.575525E+002,-3.828529E+000,,,,,,,,
2.524944800e-01,+1.160000E+000,-2.846292E+000,-4.907400E+001,-4.075478E+002,-3.301698E+000,,,,,,,,
3.156137600e-01,+1.150000E+000,-2.449218E+000,-4.222790E+001,-4.695375E+002,-2.816601E+000,,,,,,,,
3.787366600e-01,+1.140000E+000,-2.078478E+000,-3.583583E+001,-5.484783E+002,-2.369465E+000,,,,,,,,
4.418477600e-01,+1.130000E+000,-1.733211E+000,-2.988294E+001,-6.519692E+002,-1.958528E+000,,,,,,,,
5.049640000e-01,+1.120000E+000,-1.412814E+000,-2.435885E+001,-7.927444E+002,-1.582351E+000,,,,,,,,
5.680835600e-01,+1.110000E+000,-1.114878E+000,-1.922203E+001,-9.956249E+002,-1.237514E+000,,,,,,,,
6.312164400e-01,+1.100000E+000,-8.402396E-001,-1.448689E+001,-1.309150E+003,-9.242636E-001,,,,,,,,
6.943405400e-01,+1.090000E+000,-5.889528E-001,-1.015436E+001,-1.850743E+003,-6.419585E-001,,,,,,,,
7.574525200e-01,+1.080000E+000,-3.591210E-001,-6.191742E+000,-3.007343E+003,-3.878507E-001,,,,,,,,
8.205388000e-01,+1.070000E+000,-1.507789E-001,-2.599636E+000,-7.096483E+003,-1.613334E-001,,,,,,,,
8.836635200e-01,+1.060000E+000,+3.712025E-002,+6.400044E-001,+2.855584E+004,+3.934747E-002,,,,,,,,
9.467992600e-01,+1.050000E+000,+2.055835E-001,+3.544543E+000,+5.107414E+003,+2.158627E-001,,,,,,,,
1.009934180e+00,+1.040000E+000,+3.551232E-001,+6.122814E+000,+2.928561E+003,+3.693282E-001,,,,,,,,
1.073066680e+00,+1.030000E+000,+4.867910E-001,+8.392949E+000,+2.115898E+003,+5.013948E-001,,,,,,,,
1.136225380e+00,+1.020000E+000,+6.032055E-001,+1.040009E+001,+1.690966E+003,+6.152696E-001,,,,,,,,
1.199353660e+00,+1.010000E+000,+7.044533E-001,+1.214575E+001,+1.433736E+003,+7.114979E-001,,,,,,,,
1.262507120e+00,+1.000000E+000,+7.940140E-001,+1.368990E+001,+1.259424E+003,+7.940140E-001,,,,,,,,
1.325626060e+00,+9.900000E-001,+8.707608E-001,+1.501312E+001,+1.136937E+003,+8.620532E-001,,,,,,,,
1.388747880e+00,+9.800000E-001,+9.358089E-001,+1.613464E+001,+1.047222E+003,+9.170928E-001,,,,,,,,
1.451878240e+00,+9.700000E-001,+9.921343E-001,+1.710576E+001,+9.776902E+002,+9.623703E-001,,,,,,,,
1.515004260e+00,+9.600000E-001,+1.041288E+000,+1.795324E+001,+9.219354E+002,+9.996362E-001,,,,,,,,
1.578114980e+00,+9.500000E-001,+1.083493E+000,+1.868091E+001,+8.767939E+002,+1.029318E+000,,,,,,,,
1.641230580e+00,+9.400000E-001,+1.121092E+000,+1.932917E+001,+8.384684E+002,+1.053826E+000,,,,,,,,
1.704349680e+00,+9.300000E-001,+1.153743E+000,+1.989212E+001,+8.060721E+002,+1.072981E+000,,,,,,,,
1.767473340e+00,+9.200000E-001,+1.181735E+000,+2.037475E+001,+7.785161E+002,+1.087197E+000,,,,,,,,
1.830599760e+00,+9.100000E-001,+1.207196E+000,+2.081373E+001,+7.538129E+002,+1.098549E+000,,,,,,,,
1.893734140e+00,+9.000000E-001,+1.229374E+000,+2.119610E+001,+7.320801E+002,+1.106436E+000,,,,,,,,
1.956877840e+00,+8.900000E-001,+1.248991E+000,+2.153433E+001,+7.125750E+002,+1.111602E+000,,,,,,,,
2.019996000e+00,+8.800000E-001,+1.266730E+000,+2.184018E+001,+6.947019E+002,+1.114723E+000,,,,,,,,
2.083121620e+00,+8.700000E-001,+1.282382E+000,+2.211004E+001,+6.784250E+002,+1.115672E+000,,,,,,,,
2.146232140e+00,+8.600000E-001,+1.296966E+000,+2.236147E+001,+6.630862E+002,+1.115390E+000,,,,,,,,
